window size/step ranges,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
5,0.549,0.565,0.670,0.737,0.751,0.760,0.767,0.796,0.808
8,0.557,0.581,0.708,0.778,0.794,0.804,0.812,0.842,0.854
10,0.561,0.585,0.723,0.801,0.815,0.825,0.832,0.864,0.875
40,0.582,0.629,0.828,0.923,0.938,0.945,0.951,0.969,0.974
50,0.586,0.642,0.848,0.941,0.955,0.961,0.963,0.978,0.982
80,0.598,0.658,0.881,0.968,0.976,0.981,0.983,0.992,0.994
100,0.629,0.679,0.897,0.978,0.986,0.987,0.986,0.995,0.996
200,0.694,0.727,0.936,0.993,0.996,0.996,0.996,0.999,0.999
400,0.724,0.769,0.962,0.998,0.998,0.999,1.000,1.000,1.000
800,0.750,0.811,0.981,0.998,1.000,1.000,1.000,1.000,1.000
1000,0.743,0.822,0.981,1.000,1.000,1.000,1.000,1.000,1.000
2000,0.773,0.868,0.993,0.999,1.000,1.000,1.000,1.000,1.000
4000,0.759,0.904,0.999,1.000,1.000,1.000,1.000,1.000,1.000
8000,0.671,0.937,0.999,1.000,1.000,1.000,1.000,1.000,1.000
