window size/step ranges,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
5,0.542,0.556,0.653,0.732,0.740,0.750,0.758,0.788,0.802
8,0.548,0.567,0.699,0.764,0.781,0.795,0.801,0.834,0.848
10,0.554,0.574,0.717,0.790,0.804,0.814,0.823,0.856,0.870
40,0.585,0.611,0.824,0.916,0.927,0.938,0.943,0.964,0.970
50,0.586,0.615,0.842,0.932,0.942,0.950,0.956,0.972,0.979
80,0.606,0.631,0.882,0.957,0.968,0.973,0.978,0.987,0.991
100,0.615,0.632,0.898,0.973,0.973,0.981,0.983,0.992,0.994
200,0.646,0.656,0.927,0.989,0.993,0.995,0.997,0.999,0.999
400,0.671,0.677,0.956,0.997,0.998,1.000,0.999,0.999,1.000
800,0.643,0.694,0.981,0.987,1.000,1.000,1.000,1.000,1.000
1000,0.667,0.691,0.986,0.999,1.000,1.000,1.000,1.000,1.000
2000,0.559,0.661,0.993,1.000,1.000,1.000,1.000,1.000,1.000
4000,0.516,0.622,0.977,0.999,1.000,1.000,1.000,1.000,1.000
8000,0.541,0.760,0.927,0.991,0.989,1.000,1.000,1.000,1.000
