window size/step ranges,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
50,0.597,0.621,0.845,0.933,0.944,0.954,0.958,0.974,0.980
80,0.611,0.639,0.884,0.965,0.972,0.979,0.981,0.990,0.993
100,0.623,0.648,0.904,0.974,0.981,0.986,0.988,0.994,0.996
200,0.650,0.688,0.950,0.994,0.995,0.998,0.998,0.999,1.000
400,0.667,0.731,0.976,0.999,0.999,1.000,0.999,1.000,1.000
800,0.689,0.772,0.989,1.000,1.000,1.000,1.000,1.000,1.000
1000,0.692,0.796,0.992,1.000,1.000,1.000,1.000,1.000,1.000
2000,0.694,0.815,0.997,1.000,1.000,1.000,1.000,1.000,1.000
4000,0.691,0.823,0.998,1.000,1.000,1.000,1.000,1.000,1.000
8000,0.693,0.879,0.997,1.000,1.000,1.000,1.000,1.000,1.000
